Strategy,Region,Fund_Name,ASX_Code,Mgmt_Fee,Benchmark,Details
Yield,Australia,Russell Australian Responsible Investment,RARI.AX,0.45%,Russell Australia ESG High Dividend,"Tracks the Russell Australia ESG High Dividend Index, which is weighted towards companies that demonstrate positive environmental, social and governance (ESG) characteristics."
Yield,Australia,Russell High Dividend Australian Shares,RDV.AX,0.34%,Russell Australia High Dividend,Comprises Australian blue-chip companies with a bias towards those that have a high expected dividend yield.
Yield,Australia,S&P/ASX 200 Covered Call ETF,AYLD.AX,0.60%,S&P/ASX BuyWrite Index,"The Global X S&P/ASX 200 Covered Call ETF (AYLD) uses a “covered call” or “buy-write” strategy in an effort to generate yield enhancement over and above dividends and franking. As part of this, the fund holds the constituents of the S&P/ASX 200 Index while selling at-the money1, call options on the same index on a quarterly basis."
Yield,Australia,SPDR MSCI Australia Select High Dividend Yield Fund,SYI.AX,0.35%,MSCI Australia Select High Dividend Yield,Aims to achieve a higher than average dividend yield than the ASX average.
Yield,Australia,Vaneck Vectors Morningstar Australian Moat Income,DVDY.AX,0.35%,Morningstar® Australia Dividend Yield Focus,Intends to capture the performance of the 25 highest dividend paying ASX-listed securities (excluding A-REITs) that meet Morningstar's required criteri
Yield,Australia,Vanguard Australian Shares High Yield,VHY.AX,0.25%,FTSE ASFA Australia High Dividend Yield,Aims for exposure to companies with higher forecast dividends relative to other ASX-listed companies.
Cash_Bonds,Australia,ActiveX Ardea Real Outcome Bond Fund (Managed Fund),XARO.AX,0.50%,RBA Inflation rate (Consumer Price Index),A defensive fixed income solution that targets a stable return in excess of inflation over the medium term.
Cash_Bonds,Australia,Australian Cash Plus Fund (managed fund),MMKT.AX,0.18%,N/A,"Aims to generate a yield that exceeds the Bloomberg AusBond Bank Bill Index, paid monthly, from a portfolio of Australian dollar cash and short-term money market securities issued by investment grade entities."
Cash_Bonds,Australia,Australian Government Bond,AGVT.AX,0.22%,Solactive Australian Government 7 - 12 Year AUD TR,The Fund’s strategy is to invest primarily in a portfolio of relatively ‘long duration’ Australian government bonds.
Cash_Bonds,Australia,BetaShares Australian Bank Senior Floating Rate Bond,QPON.AX,0.22%,Solactive Australian Bank Senior Floating Rate Bond,Provides exposure to a portfolio of some of the largest and most liquid senior floating rate bonds issued by Australian banks.
Cash_Bonds,Australia,BetaShares Australian Composite Bond ETF,OZBD.AX,0.19%,Bloomberg Australian Enhanced Yield Composite Bond Index,"Bonds are weighted on the basis of their risk-adjusted income potential with the aim to provide investors with higher returns than the benchmark,"
Cash_Bonds,Australia,BetaShares Australian High Interest Cash,AAA.AX,0.18%,30 day Bank Bill Swap Rate,Aims to provide regular income distributions that exceed the 30 day Bank Bill Swap Rate.
Cash_Bonds,Australia,BetaShares Australian Investment Grade Corporate Bond,CRED.AX,0.25%,Solactive Australian Investment Grade Corporate Bond Select TR,Exposure to a portfolio of investment grade fixed-rate Australian corporate bonds.
Cash_Bonds,Australia,Betashares Australian Major Bank Subordinated Debt ETF,BSUB.AX,0.29%,Solactive Australian Major Bank Subordinated FRN Index,Aims to track the performance of an index that provides exposure to a portfolio of floating rate subordinated bonds issued by the four major Australian banks.
Cash_Bonds,Australia,BetaShares Interest Rate Hedged Australian Grade Corporate Bond ETF,HCRD.AX,0.29%,Solactive Australian Investment Grade Corporate Bond Select DH Index,"Aims to track the performance of an index that provides intelligent exposure to a portfolio of senior, fixed-rate, investment grade Australian corporate bonds, hedged to reduce interest rate risk."
Cash_Bonds,Australia,BetaShares Legg Mason Australian Bond (MF),BNDS.AX,0.42%,N/A,"Actively managed, diversified portfolio of Australian bonds and aims to outperform the Bloomberg AusBond Composite Index over rolling three-year periods."
Cash_Bonds,Australia,BetaShares Strong Australian Dollar (MF),AUDS.AX,1.38%,Australian Dollar (AUD),Exposure to the change in value of the Australian Dollar relative to the U.S. Dollar.
Cash_Bonds,Australia,Geared Long Australian Government Bond Fund (hedge fund),GGAB.AX,0.99%,N/A,Geared exposure to the returns of 10-year Australian Treasury Bonds.
Cash_Bonds,Australia,Geared Long U.S. Treasury Bond Fund – Currency Hedged (hedge fund),GGFD.AX,0.99%,N/A,"Offers geared exposure to the returns of 10-year US Treasury Bonds, hedged for currency exposure."
Cash_Bonds,Australia,iShares 15+ Year Australian Government Bond ETF,ALTB.AX,0.15%,Bloomberg Ausbond Govt 15+ Yr Index,Aims to provide investors with the performance of the Bloomberg Ausbond Govt 15+ Yr Index. The index is designed to measure the performance of bonds issued by the Australian Commonwealth Government and Australian Semi-Governments that have a remaining maturity of fifteen years or more.
Cash_Bonds,Australia,iShares Core Cash,BILL.AX,0.07%,S&P/ASX Bank Bill Index,Capital preservation and regular income with a diversified portfolio of high quality short-term money market instruments.
Cash_Bonds,Australia,iShares Core Composite Bond,IAF.AX,0.15%,Bloomberg AusBond Composite 0+ Yr,Composed of investment grade fixed income bonds issued in the Australian debt market.
Cash_Bonds,Australia,Ishares Core Corporate Bond,ICOR.AX,0.15%,Bloomberg AusBond Credit 0+ Yr,"Australian corporate bonds and incorporates ESG awareness by screening out companies involved in controversial weapons, fossil fuels, tobacco, civilian firearms and UN compact violators."
Cash_Bonds,Australia,iShares Enhanced Cash,ISEC.AX,0.12%,S&P/ASX Bank Bill Index,A passive investment strategy that aims to outperform the performance of the S&P/ASX Bank Bill Index.
Cash_Bonds,Australia,iShares Government Inflation,ILB.AX,0.18%,Bloomberg AusBond Inflation Government,Replicates a segment of the Australian bond market comprised of inflation-linked fixed income securities
Cash_Bonds,Australia,iShares Treasury,IGB.AX,0.18%,Bloomberg AusBond Treasury 0+ Yr,Composed of fixed income bonds issued by the Australian Treasury.
Cash_Bonds,Australia,Ishares Yield Plus,IYLD.AX,0.12%,Bloomberg AusBond Credit and FRN Ex Big 4 Banks Index,"Track the performance of the Australian corporate bond market (excluding issuers ANZ, CBA, NAB and WBC)."
Cash_Bonds,Australia,Macquarie Income Opportunities Active ETF (Managed Fund),MQIO.AX,0.49%,Bloomberg AusBond Bank Bill Index,Aims to provide higher income returns than traditional cash investments at all stages of interest rate and economic cycles.
Cash_Bonds,Australia,Russell Australian Government Bond,RGB.AX,0.24%,DBIQ 5-10 year Australian Government Bond,Tracks the performance of the DBIQ 5-10 year Australian Government Bond Index which comprises predominantly Australian government fixed income securities.
Cash_Bonds,Australia,Russell Australian Semi-Government Bond,RSM.AX,0.26%,DBIQ 0-5 year Australian Semi-Government Bond,Tracks the performance of the DBIQ 0-5 year Australian Semi-Government Bond Index which comprises predominantly Australian semi-government fixed income securities.
Cash_Bonds,Australia,Russell Investments Australian Select Corporate Bond,RCB.AX,0.28%,DBIQ 0-4 year Investment Grade Australian Corporate Bond,Investment-grade Australian corporate fixed income securities.
Cash_Bonds,Australia,SPDR S&P/ASX Australian Bond Fund,BOND.AX,0.24%,S&P/ASX Australian Fixed Interest,Tracks the performance of the Australian fixed rate bond market.
Cash_Bonds,Australia,SPDR® S&P®/ASX Australian Government Bond Fund,GOVT.AX,0.22%,S&P/ASX Government Bond,Tracks the performance of a sub-set of the Australian fixed rate bond market - the Commonwealth and State Government market.
Cash_Bonds,Australia,VanEck 10+ Year Australian Government Bond ETF,XGOV.AX,0.22%,S&P/ASX Government Bond 10-20 Year Index (SPBDG12T Index),XGOV invests in a portfolio of Australian dollar denominated Australian Government Bonds with maturity dates between 10 and 20 years with the aim of providing investment returns (before fees and costs) that closely track the returns of the Index.
Cash_Bonds,Australia,VanEck 1-5 Year Australian Government Bond ETF,1GOV.AX,0.22%,S&P/ASX Government Bond 1-5 Year Index,A portfolio of Australian dollar denominated Australian Government Bonds with maturity dates between 1 and 5 years with the aim of providing investment returns that closely track the returns of the Index.
Cash_Bonds,Australia,VanEck 5-10 Year Australian Government Bond ETF,5GOV.AX,0.22%,S&P/ASX Government Bond 5-10 Year Index,A portfolio of Australian dollar denominated Australian Government Bonds with maturity dates between 5 and 10 years with the aim of providing investment returns that closely track the returns of the Index.
Cash_Bonds,Australia,VanEck Vectors Australian Corporate Bond Plus,PLUS.AX,0.32%,Markit iBoxx AUD Corporates Yield Plus Index,"Diversified portfolio of Australian dollar denominated corporate, government and semi-government bonds with minimum investment grade credit rating."
Cash_Bonds,Australia,VanEck Vectors Australian Floating Rate,FLOT.AX,0.22%,Bloomberg AusBond Credit FRN 0+ Yr,Invests in a diversified portfolio of Australian dollar denominated Floating Rate Bonds.
Cash_Bonds,Australia,Vaneck Vectors Australian Subordinated Debt,SUBD.AX,0.29%,iBoxx AUD Investment Grade Subordinated Debt Mid Price,Investment grade subordinated bonds denominated in AUD and only includes AUD denominated floating rate bonds issued by Tier 2 Capital Financial Institutions.
Cash_Bonds,Australia,Vanguard Australian Corporate Fixed Interest Index,VACF.AX,0.26%,S&P/ASX Government Bond,Seeks to track the return of the Bloomberg AusBond Credit 0+ Yr Index.
Cash_Bonds,Australia,Vanguard Australian Fixed Interest Index,VAF.AX,0.20%,Bloomberg AusBond Credit 0+ Yr,"Covers high-quality, income-generating securities issued by the Commonwealth Government of Australia, State Government authorities and treasury corporations, as well as investment-grade corporate issuers."
Cash_Bonds,Australia,Vanguard Australian Government Bond Index,VGB.AX,0.20%,Bloomberg AusBond Govt 0+ Yr,"Covers high-quality, income-generating securities issued by the Commonwealth Government of Australia, Australian State Government authorities, and treasury corporations."
Broad,Australia,Airlie Australian Share Fund (Managed Fund),AASF.AX,0.78%,S&P/ASX 200 Accumulation Index,Bottom-up investment strategy of Australian equities.
Broad,Australia,BetaShares Australian Ex-20 Portfolio Diversifier,EX20.AX,0.25%,Nasdaq Australia Completion Cap,Track the performance of 180 ASX listed stocks ranked from number 21 to number 200 as based on their market capitalisation.
Broad,Australia,BetaShares Australian Quality ETF,AQLT.AX,0.35%,n/a,"Aims to track an index of 40 'high quality' Australian companies, based on metrics of high return on equity, low leverage, and relative earnings stability."
Broad,Australia,BetaShares Managed Risk Australian Share Fund (MF),AUST.AX,0.49%,N/A,Broad exposure to 200 of Australia's largest companies.
Broad,Australia,Betashares Wealth Builder Australia 200 Geared Complex ETF,G200.AX,0.35%,N/A,Help investors build long-term wealth by providing a cost-effective way to benefit from moderately geared exposure to the returns of the broad Australian share market.
Broad,Australia,Dimensional Australian Core Equity Trust (Managed Fund),DACE.AX,0.28%,S&P/ASX 300 Index (Total Return),Provide long-term capital growth by gaining exposure to a diversified portfolio of securities listed in Australia with increased emphasis on higher expected return securities relative to a Market Capitalisation Weighted portfolio.
Broad,Australia,Geared Short Australian Government Bond Fund (hedge fund),BBAB.AX,0.99%,N/A,Provides a simple way to generate magnified returns that are negatively correlated to 10-year Australian Treasury Bonds on a given day.
Broad,Australia,Intelligent Investor Australian Equity Growth Fund (MF),IIGF.AX,0.97%,S&P/ASX 200 Accumulation Index,Focused on capital growth by investing in undervalued Australian equities.
Broad,Australia,iShares Edge MSCI Australia Minimum Volatility,MVOL.AX,0.30%,Subset of MSCI Australia IMI (AUD),Track the performance of the parent index using a minimum volatility strategy.
Broad,Australia,iShares Edge MSCI Australia Multifactor ETF,AUMF.AX,0.30%,Subset of MSCI Australia IMI (AUD),Track a subset of MSCI Australia IMI (AUD) according to to four “style” factors.
Broad,Australia,Monash Absolute Active Trust,MAAT.AX,1.38%,Does not track a benchmark,"A long biased, long/short Australian equity fund that invests in a diversified portfolio of Australian listed equities."
Broad,Australia,Perpetual ESG Australian Share Fund (Managed Fund),GIVE.AX,0.65%,S&P/ASX 300 Accumulation Index,"An actively managed fund, targeting long-term capital growth and income through investment predominately in quality Australian shares of ethical and socially responsible companies."
Broad,Australia,Switzer Dividend Growth Fund (Managed Fund),SWTZ.AX,0.89%,S&P/ASX 100 Accumulation Index,Provide investors with an attractive income stream that is franked to the maximum possible extent.
Broad,Australia,VanEck Geared Australian Equal Weight Fund (Hedge Fund),GMVW.AX,0.35%,VanEck Australian Equal Weight ETF,Gives investors geared exposure to the VanEck Australian Equal Weight ETF
Broad,Australia,VanEck Vectors Australian Equal Weight,MVW.AX,0.35%,MVIS Australia Equal Weight,Covers approximately 75 blue-chip companies weighted equally.
Broad,Australia,Vanguard MSCI Australian Large Companies Index,VLC.AX,0.20%,MSCI Australian Shares Large Cap,Exposure to the largest companies and property trusts listed on the Australian Securities Exchange.
Index_Track,Australia,Australian Momentum ETF,MTUM.AX,0.35%,Solactive Australia Momentum Select Index,"Tracks the performance of an index comprising a portfolio of Australian companies with above average momentum scores, as measured by risk-adjusted returns."
Index_Track,Australia,BetaShares A200,A200.AX,0.04%,S&P/ASX 200,Tracks the return of the 200 largest ASX companies (not the index specifically).
Index_Track,Australia,BetaShares Australian Small Companies Select,SMLL.AX,0.39%,S&P/ASX Small Ordinaries Accumulation,Tracks the return of the S&P/ASX Small Ordinaries Accumulation Index.
Index_Track,Australia,BetaShares FTSE RAFI Australia 200,QOZ.AX,0.40%,FTSE RAFI Australia 200,Tracks the return of Australia's 200 largest companies.
Index_Track,Australia,BetaShares Geared Australian Equity,GEAR.AX,0.80%,S&P/ASX 200,Tracks the return of the S&P/ASX 200 Index (Geared).
Index_Track,Australia,BetaShares S&P/ASX Australian Technology,ATEC.AX,0.48%,S&P/ASX All Technology,Tracks the return of the S&P/ASX All Technology Index.
Index_Track,Australia,Fidelity Australian High Conviction Active ETF,FHCO.AX,0.85%,S&P/ASX 200 Accumulation Index,Achieve returns in excess of the S&P/ASX 200 Accumulation Index over the medium to long term
Index_Track,Australia,iShares Core S&P/ASX 200,IOZ.AX,0.09%,S&P/ASX 200,Tracks the return of the S&P/ASX 200 Index.
Index_Track,Australia,iShares S&P/ASX 20,ILC.AX,0.24%,S&P/ASX 20,Tracks the return of the S&P/ASX 20 Index.
Index_Track,Australia,Macquarie Core Australian Equity Active,MQAE.AX,0.03%,S&P/ASX 300 Accumulation Index,"Provides exposure to a diversified portfolio of Australian equities through securities listed, or expected to be listed, on the ASX."
Index_Track,Australia,SPDR S&P/ASX 200,STW.AX,0.13%,S&P/ASX 200,Tracks the return of the S&P/ASX 200 Index.
Index_Track,Australia,SPDR S&P/ASX 200 Esg,E200.AX,0.13%,S&P/ASX 200 ESG,Tracks the return of the S&P/ASX 200 ESG Index.
Index_Track,Australia,SPDR S&P/ASX 50,SFY.AX,0.29%,S&P/ASX 50,Tracks the return of the S&P/ASX 50 Index.
Index_Track,Australia,Vanguard Australian Shares Index,VAS.AX,0.10%,S&P/ASX 300,Tracks the return of the S&P/ASX 300 Index.
Bear_Market,Australia,BetaShares Australian Equities Bear Hedge Fund,BEAR.AX,1.38%,Negative Correlation to S&P/ASX 200,Profit from a decline of the Australian share market by generating returns negatively correlated to the S&P/ASX 200 index.
Bear_Market,Australia,BetaShares Australian Equities Strong Bear Hedge Fund (MF),BBOZ.AX,1.38%,Negative Correlation to S&P/ASX 20,Profit from a decline of the Australian share market by generating magnified returns negatively correlated to the S&P/ASX 200 index.
Sectors,Australia,BetaShares Australian Major Bank Hybrids Index ETF,BHYB.AX,0.35%,Solactive Australian Banking Preferred Shared Index,Aims to track the performance of an index that provides exposure to a portfolio of listed hybrid securities issued by Australia’s ‘Big 4’ banks.
Sectors,Australia,BetaShares Australian Sustainability Leaders,FAIR.AX,0.49%,Nasdaq Future Australian Sustainability Leaders,"Exposure to a portfolio of sustainable, ethical Australian companies."
Sectors,Australia,BetaShares S&P/ASX 200 Financials Sector,QFN.AX,0.34%,S&P/ASX 200 Financials,Tracks the price and income performance of the S&P/ASX 200 Financials-x-A-REIT Index.
Sectors,Australia,BetaShares S&P/ASX 200 Resources Sector,QRE.AX,0.34%,S&P/ASX 200 Resources,Tracks the price and income performance of the S&P/ASX 200 Resources Index.
Sectors,Australia,ETFS Battery Tech & Lithium,ACDC.AX,0.69%,Solactive Battery Value-Chain,Provides investors with access to companies involved in battery technology and lithium mining.
Sectors,Australia,ETFS ROBO Global Robotics & Automation,ROBO.AX,0.69%,ROBO Global Robotics and Automation,Exposure to global robotics companies.
Sectors,Australia,Global X Australia ex Financials & Resources ETF,OZXX.AX,0.25%,"Solactive Australia ex Financials, Materials and Energy Capped Index","The Australia ex Financials & Resources ETF (OZXX) invests in Australia’s top 100 companies, excluding those in the financial (including REITs), basic material and energy sectors."
Sectors,Australia,Intelligent Investor Ethical Share Fund (MF),INES.AX,0.97%,N/A,"Seeks Australian companies that produce growing, sustainable profits at low risk of interruption from the increasing threats associated with Environmental, Social and Governance (ESG) factors."
Sectors,Australia,iShares Core MSCI Australia ESG Leaders ETF,IESG.AX,0.09%,MSCI Australia IMI Custom ESG Leaders,"Objective of the Fund is to provide exposure to large, mid and small cap segments of the Australian market with better sustainability credentials relative to their sector peers."
Sectors,Australia,SPDR® S&P®/ASX 200 Financials EX A-REIT Fund,OZF.AX,0.40%,S&P/ASX 200 Financials Ex-A-REIT,Tracks the return of the S&P/ASX 200 Financials Ex-A-REIT Index.
Sectors,Australia,SPDR® S&P®/ASX 200 Listed Property Fund,SLF.AX,0.40%,S&P/ASX 200 A-REIT,Tracks the return of the S&P/ASX 200 A-REIT Index.
Sectors,Australia,SPDR® S&P®/ASX 200 Resources Fund,OZR.AX,0.40%,S&P/ASX 200 Resources,Tracks the return of the S&P/ASX 200 Resources Index.
Sectors,Australia,VanEck Vectors Australian Banks,MVB.AX,0.28%,MVIS Australia Banks,Exposure to the largest ASX-listed companies that generate at least 50% of their revenues or assets from the Australian banking sector.
Sectors,Australia,VanEck Vectors Australian Resources,MVR.AX,0.35%,MVIS Australia Energy & Mining,Exposure to the largest and most liquid ASX-listed companies that generate at least 50% of their revenues or assets from the Australian resources sector.
Sectors,Australia,VanEck Vectors MSCI Australian Sustainable Equity,GRNV.AX,0.35%,MSCI Australia IMI Select SRI Screened,Diversified portfolio of sustainable Australian companies selected on the basis of in-depth analysis by world leading research agency MSCI ESG Research.
Sectors,Australia,VanEck Vectors S&P/ASX MidCap,MVE.AX,0.45%,S&P/ASX Midcap 50,"Exposure to companies in the S&P/ASX 100 index, excluding those in the S&P/ASX50 index."
Sectors,Australia,Vanguard Ethically Conscious Australian Shares,VETH.AX,0.16%,FTSE Australia 300 Choice Index,"Australian companies excluding business involved in fossil fuels, nuclear power, alcohol, tobacco, gambling, weapons, adult entertainment and a conduct related screen based on controversies."
Small_Cap,Australia,Einvest Future Impact Small Caps Fund (MF),IMPQ.AX,0.99%,N/A,Aims for capital growth in investments that also contribute positively and sustainably to society and the environment. 
Small_Cap,Australia,iShares S&P/ASX Small Ordinaries,ISO.AX,0.55%,S&P/ASX Small Ordinaries,Tracks the S&P/ASX Small Ordinaries (companies in the S&P/ASX 300 index but not in the S&P/ASX 100 index).
Small_Cap,Australia,K2 Australian Small Cap Fund (Hedge Fund),KSM.AX,1.31%,N/A,A diversified portfolio of Australian Small and Mid cap equities.
Small_Cap,Australia,SPDR® S&P®/ASX Small Ordinaries,SSO.AX,0.50%,S&P/ASX Small Ordinaries,Tracks the S&P/ASX Small Ordinaries (companies in the S&P/ASX 300 index but not in the S&P/ASX 100 index).
Small_Cap,Australia,VanEck Vectors Small Cap Masters,MVS.AX,0.49%,MVIS Australia Small-Cap Dividend Payers,Exposure to the most liquid dividend paying small cap local companies and offshore ASX listed companies which generate at least 50% of their revenues or assets from Australia.
Small_Cap,Australia,Vanguard MSCI Australian Small Companies Index,VSO.AX,0.30%,MSCI Australian Shares Small Cap,Broadly diversified exposure to small capitalisation companies listed on the ASX.
Property,Australia,VanEck Vectors Australian Property,MVA.AX,0.35%,MVIS Australia A-REITs,Tracks the performance of the largest and most liquid ASX-listed Real Estate Investment Trusts (A-REITs).
Property,Australia,Vanguard Australian Property Securities Index Fund,VAP.AX,0.23%,S&P/ASX 300 A-REIT,Tracks the return of the S&P/ASX 300 A-REIT Index.
Broad,Global,Alphinity Global Equity Fund (Managed Fund),XALG.AX,0.75%,MSCI World Net Return Index (AUD),"A diversified portfolio of international stocks across different sectors, countries and currencies."
Broad,Global,Alphinity Global Sustainable Equity Fund (Managed Fund),XASG.AX,0.75%,MSCI World Net Total Return Index (AUD),A portfolio of companies with activities that are aligned with the United Nations Sustainable Development Goals.
Broad,Global,Antipodes Global Shares (Managed Fund),AGX1.AX,1.10%,N/A,Focuses on buying undervalued global companies and building a concentrated portfolio of at least 30 holdings.
Broad,Global,Aoris International Fund (Class B) (Unhedged) (Managed Fund),BAOR.AX,1.10%,MSCI All Countries World Index es Australia Accumulation Index Net in AUD,"The fund aims to own a concentrated portfolio of high quality, wealth-creating businesses run by prudent and capable management."
Broad,Global,Aoris International Fund (Class D) (Hedged) (Managed Fund),DAOR.AX,1.15%,MSCI All Countries World Index es Australia Accumulation Index Net in AUD (hedged),"The fund aims to own a concentrated portfolio of high quality, wealth-creating businesses run by prudent and capable management."
Broad,Global,Apostle Dundas Global Equity Fund,ADEF.AX,0.90%,MSCI All Country World Index (ex Australia) before fees,"Manage a single investment strategy, global equities, in pursuit of capital and dividend growth to keep their clients’ precious funds intact from the corrosive effect of inflation. They invest in the best public companies from around the world."
Broad,Global,Barrow Hanley Global Share Fund (Managed Fund),GLOB.AX,0.99%,MSCI World Net Total Return Index (AUD),Aims to provide investors with long-term capital growth through investment in quality global shares and to outperform the MSCI World Net Total Return Index (AUD) (before fees and taxes) over rolling three-year periods.
Broad,Global,Betashares Diversified Conservative Income,DZZF.AX,0.39%,N/A,An ethical fund seeking 90% growth assets (Australian and international shares) and 10% defensive assets (Australian and international bonds).
Broad,Global,Betashares Diversified Growth,DGGF.AX,0.39%,N/A,An ethical fund seeking 70% growth assets (Australian and international shares) and 50% defensive assets (Australian and international bonds).
Broad,Global,Betashares Diversified High Growth,DHHF.AX,0.19%,N/A,"The ETF has a 100% allocation to shares, and is invested in a blend of large, mid and small cap equities from Australia, global developed and emerging markets."
Broad,Global,BetaShares Ethical Diversified Balanced,DBBF.AX,0.39%,N/A,An ethical fund seeking 50% defensive assets (Australian and international bonds) and 50% growth assets (Australian and international shares).
Broad,Global,BetaShares Global Quality Leaders,QLTY.AX,0.35%,iSTOXX MUTB Global ex-Australia Quality Leaders.,"Access to the 150 global companies (ex-Australia) based on a combined ranking of four key factors – ROE, debt-to-capital, CF generation ability and earnings stability."
Broad,Global,Betashares Global Quality Leaders,HQLT.AX,0.38%,iSTOXX MUTB Global Ex-Australia Quality Leaders Index AUD Hedged,"Comprises 150 global companies (ex-Australia) ranked by highest quality score, hedged into Australian dollars."
Broad,Global,BetaShares Global Shares ETF,BGBL.AX,0.08%,Solactive GBS Developed Markets ex Australia Large & Mid Cap Index,"BGBL aims to track the performance of an index (before fees and expenses) that provides exposure to an index comprising approximately 1,500 developed markets companies (ex-Australia)."
Broad,Global,BetaShares Global Shares ETF - Currency Hedged,HGBL.AX,0.11%,Solactive GBS Developed Markets ex Australia Large & Mid Cap Index (AUD Hedged),"HGBL aims to track the performance of an index (before fees and expenses) comprising approximately 1,500 developed markets companies (ex-Australia), hedged into Australian dollars."
Broad,Global,BetaShares Global Uranium ETF,URNM.AX,0.69%,Indxx North Shore Uranium Mining Index,Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of leading companies in the global uranium industry.
